comment,toxic
"блеаад обидн созда тред пародируеш реч ватник случайн употреб слов скрипт скрыва пересозда лет сиж вам обсера пидорашек сме смерт дела фотожаб обезьян я-т дума дела русск русофоб украинц котор процент поэт относ чему-т ин самокритик самоирон справедлив негодован из-з войн донбасс ( конц конц счита украинц сво брат бугурт небезосновательн ) нах осен снача вернул значк произошел расстрел мечет нз куч блядск муслим дела вмест нам ( дума слишк беспросветн туп интересова политик ) называ русск пидорашк славщит бляяд действительн дума пидорашек ? вообщ славя ? соглас кавказск мужчин част выгляд русск остальн намн хуж пидорашек котор живут окружен говн охуева утр выход подъезд работ вступа десятисантиметров гряз счит норм котор имеют никак солидарн как признак ненавид друг друг априор сво дет броса ебан негр котор скор сдадут начальств маяча вознагражден ( котор дадут ) попыта подб люд забастовк из-з невыплат зарплат полгод труслив терпелив скот котор барин превознос дел люд каст признак налич крутост жоповозк пиздляв уебк котор превознос сво уебищн совок котор изобрел мир американц укра ! ! факт выясня совок практическ ниху постро модернизирова все либ западн проект соглас запад либ помощ технологическ шпионаж воистин народ-гн народ-пидор народ-мраз сам подл народ мир фон пидорашек выгляд микроб прост ебан ничтожеств прич пыта оскорб мо слов действительн отража вложен изначальн смысл ничт пидорашк имен так как описа выш уберхуев днищ цивилизова народ эт цивилизова народ отнест пидорашк что-т изобрел изобрел смогл спизд воссозда технолог прост какую-нибуд открывалк банок ядерн оруж энергетик созда ценя мир литератур созда пуст хуев милитаризова построен лжи кров угнетен унижен собствен гражда конц конц развал сверхдержав сдела масс географическ открыт захват полмир воспитыва масс хорош кодер ( правд скор воспитыва благодар вопрек вид пиздец вокруг наход выход ) говор остальн славян котор презрительн называ славщит чистильщик британск туалет факт пойм мы-т говн сравнен стран перв мир кита юк япон стран южн америк вы-т бляд сред рашкинск регион сам дно прошл ( чеченц даг проч сорт ) прост дикар котор напада русск карава поэт реш выеба зохват говор среднеазиат котор бугурт оккупац обычн нищ кочевник подтира камн пьющ верблюж моч имеющ назван народ бо пидорашк сдела пар дырок защищ посад бутылк убьет пидорашк ниху мнен сдела специальн русск воспитыва унижен раб унижа русск дет школ агрессивн обезья способн диалог возгора мал искр пуст кто-нибуд заикнет протопоповск хует дет школ должн уч вдохновля выбира будущ професс борот выживан дебильн статус иерарх слуша дебил b унижен избиен слаб дела тех ког унижа дела защит любл выража фраз нацик воистин столет прост сидел гор еба баран народ-пидор смог захват зна армянск учен музыкант известн люд сорт получ признан стран перв мир зна охуен грузинск культур ( котор суд всем нагл спизд сво врем ) бляд чеченск зна особен поэт акцентир вниман имен сред муслимск народ снг дагестанск учен ? откр двер ? государств культур ? поч среднеазиатск параш работ вообщ едут рашк азиатск стран работа заграниц ? что-т достойн упоминан кром наглост агресс ? арийц бляд ? сам чист рас люб похваста чеченц ? пик так арийц пом араб турк славя друг европеоид алс володин долб пын хуйл рашк бантуста русн народ-гн","1"
"какое-т хуйл котор срет друг говн говн прост мерзк тип","1"
"реза строп ? дорах повисет","1"
"засунул ху рот пидорашк пофикс благодор","1"
"насса теб хлеба чмошник насра рот","1"
"поч сша стро так мост ?","0"
"поч быдл ненавид сжв движен ? цел благородн несут польз равноправ видим правач быдл застря суевер средневеков хочет принима современ действительн","1"
"влиятельн особ обзавел хомячк пятачк","1"
"барин раб двух слов умеща все мировоззрен пидорашек имен две извилин мозг пидор отвеча проецирован дан слов союзн украинско-американск отношен сосач познавательн мир животн","1"
"запрет рабоч ден час ? отчаст имен выступа рабоч 19-20ом век выход стачк революц имен благодар трудов инспекц так комфортн услов труд инач час работодател нрав - ид нах будут какие-нибуд гастер котор будут копейк работа","0"
"отправ тарас гулаг пан пуска воркут пуст стро мост доходяг смотр кана орт !","1"
"месяц назад буха одн хохл казахста оренбург ( рф уч ) говор назарба власт местн нацик ( сказа ба ? ) дал уйдет - хз ща провер сказа мусульман очен относительн - зареза свин - главн покупател казах","1"
"предлага пидорнут хохл хохл имеют отношен политик пост всяк хуйн безграмотн блевотн","1"
"ряяяг сук ссыклив скаж лиц","1"
"че паца ник как твич знат кем чал параш","1"
"удивл лойс ирл снял втор так сталкива хот сомнева слов","0"
"поч хохол ? наоборот поддержива вечн правлен путин росс лучш президент врем существован рф","1"
"дяк тоб бож що москал","1"
"нах мент имен российск желез ? гостайн работа ? управля какими-т критичн процесс ? короч лябурах очередн хайпанул немножечк","1"
"верн крым украин !","1"
"верн ! анафем гобляд !","1"
"туп пиздец сегодн хуяр алкаш рад завтр будут хуяр шмот будеш рад таска шмот послезавтр будут хуяр прост чем-т кому-т понрав ныт поздн","1"
"враг путин клоун бляд враг пын ? ? ? сися политическ противник пын порно-политическ анальчик","1"
"такж ед част советск район","0"
"93го год пок хохл колен вымол","1"
"понима аналог твич ?","1"
"лет смотрел курорт имел доступ компьютер хуйла единствен игра the forest переста смотрет","0"
"чет проигрыва лебир котор серьез вер интернет отлючат ракет завод работа российск кита впн угодн выйт","0"
"долбоеб ? рассматрива ситуац позиц националист егорк пын бугурт пущ тво навальн цел ненавистн чекист сам нулев год подавля националистическ движен","1"
"шлюх ебет ! шок ! сенсац ! наху канал двач пост ?","1"
"вчер деся комментарив остав исчезл ! пометн тред нашел ! проклят абизья !","1"
"совков привычк подтира жоп газет дума пидорашек украин сих пор совков привычк ? видим киевск рус сво стат никуд бумаг оста складк образу духовн планет просвинин","1"
"крив рог межрегиональн центр переподготовк уволен запас военнослужа произошл чп восемнадцатилетн парен получ смертельн травм попытк перебра забор общежит будуч нетрезв сообщ издан ве крив рог ночн распит алкогол март товарищ довел нетрезв общежит училищ однак он закрыт парн пришл перетаскива металлическ забор процесс поран ученик рассказа медсестр медицинск работник училищ осмотрел студент след утр обработа поврежден ран удел особ вниман посчита незначительн нескольк час потерпевш стал плох товарищ вызва скор врач госпитализирова студент критическ состоян больниц сраз прооперирова оказа задет желудочек сердц - информир издан операц пострада наход реанимац тяжел состоян ком трет степен искусствен вентиляц легк утр март умер парен приеха уч межрегиональн центр сел херсонск област родител парн оста сестр полиц крив рог откр уголовн производств факт смерт человек","0"
"открыт пиздабольств детект имен русск факт подтверд пост выш дегенерат руссачок ху русн ? скор хохл завов скотоублюдк","1"
"шаболд уровн легалпорн","1"
"нищ маргинальн туп завистлив рагул ?","1"
"будут немн отличат русск цел нос крупн лиц голов","1"
"мальчик девочк зелен майк ? напо ... :3","1"
"нах шок выдума уебок ещ цп забан тво маня-шок тред ? скор будеш бан лов сво скример суч отрод","1"
"стас еба бат еж ве хер сво жоп выеба","1"
"отписа заскрин потомк кста поч леприкон модер сид лют хейтер чмод ?","1"
"ер кек расшифровк пердеж педофил - стопроцентн хрен получа слуша ! творчеств толеньк абстракционизм потребля ? тип детали-какашульк важн внюхива ищ уничтожен отклик подсознан могл объясн ваш пристраст приня какой-т мер","1"
"бля заеба всяк бочк затычк нестира штан дальн увид ?","1"
"традицион гей-четверг дела пузыр рыб космос","1"
"? чурк еба ?","1"
"аг движух всем муслимск кавказск обезьян скор бошк отреза начнут","1"
"охуен нам какл понаеха хлопа хохляндск пизд шлеп-шлеп-шлеп","1"
"союз дет скрепля тво шлюх","1"
"расскаж дад расскаж ит йт расскаж ет дад ит пиш правильн ебан дебил","1"
"ворон кар-кар-кар-кар-кар-кар-кар ... петух рокок","1"
"счита сто ограничива столиц нужн город казахста переименова нурсулта","0"
"негр туп","1"
"бутылирова хохол","1"
"- шизоид большинств пост тем","1"
"реакц видос беруш ни-бам-б ! ! !","1"
"фортнайт пабг том пример wrong годност определя исключительн личн вкус потребител корректн рассматрива успешн рынк показательн бесплатн фортнайт выб земл из-под ног пабг хот прибыл обе игр больш част шла микротранзакц случа ведьмак практичн воспитыва вкус потребител нежел пизд палк принужда что-т дела найм юрист прид фирм составьт подробн контракт фиксир обм имеющ чертеж деньг ид привяза физическ объект физическ объект легч правильн рассмотрет сторон закон возьмут чертеж выплат деньг - идеш суд заявлен невыполнен контракт суд идет восстанавлива справедлив","0"
"дает урод косоглаз пиздоглаз даун т.е руццк","1"
"песн бухл ррря деус вульт","1"
"час ел одн говн уш глаз осилятор обосра осил дефекац","1"
"ух удмуртск мартышк пыта перефорс забавн","1"
"еба какок убог подел","1"
"равн быдлоалкаш митинск радиорынк","1"
"видет государствен расход сво деньг аг многоэтажн дворц всяк пидор сво деньг вид","0"
"весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят весел живут ребят","0"
"стас кавказец ? посмотр хачевск морд !","1"
"либ знаеш прав русск язык либ шизофреник - предикат отрица факт существован настоя времен обосра понима ? контекст прич глупеньк прост понима так контекст видим ... повод владимир новгородск княз никт спор новгород историк мамкин нача противопоставлен владимир новгород приеха ког еба нос ткнул отц киев матер лбюич друг новгород цепля новгород счита имеет отношен российск федерац ровн так отношен украин имеет ки любич свобод бег зашива очк шаблон","1"
"фич вообщ двач явля публичн сайт публичн заявлен правил публичн заявлен слоган свободн общен - публичн слов нужн отвеча публичн что-либ обеща дан случа аб долж ответ сво слов - либ пиздобол факт моч собира соблюда нек бонус дискусс - позволяш устран опонент дискусс причин недостатк аргумент сво приватн личн бложик сяк - угодн публичн нарушен обязательств выставля аб пиздобол","1"
"жопедч хыыыыыыыыыыыы соглыы дотер пишит айд буд ката катк","1"
"хочет бумажк чита плюс язык оригинальн английск поменя каких-т мод добав","0"
"видн далек дон петуш нелеп хуйн пост","1"
"народ сознательн прода ид равенств сто сорт колбас бумаг хотел капитализм - получ дума как-т инач ?","0"
"росстат апрел представ нов методолог расчет денежн доход населен заяв руководител служб павел малк возможн пересмотр расчет реальн доход населен сообща ведом министр экономическ развит макс орешкин пообеща организова максимальн публичн обсужден нынешн методик росстат доход россия пада пят лет подряд г ( учет руб . выплачен пенсионер г ) сих пор оста ниж докрымск год","0"
"пшел нах чертос ссан сво камидаундзедид","1"
"привезл мку ашот хозяин железн гор","1"
"люд горазд свобод выбор животн","0"
"курс каргокульт самолет постро весьм реалистичн практическ масштаб","0"
"дич какая-т человек придума","0"
"шизофреник весн приход чуток раньш !","1"
"сотруднича огромн куч компан британ ес британ выйдет договор поставк налог ... придет составля нов услов","0"
"раньш удобн документ практическ одн формат - слож бумажник попиздова придума свидетельств рожден брак хочет разорва кон","0"
"оста подожда 8,5 лет ...","0"
"молок силос горч горьк привкус прояв созреван сыр результат развит маслянокисл бактер друг истор","0"
"институт предстоя экзам шумн компашк смотрел хокейн матч прям эфир пил водк сам утр институт всем симптом похмел аудитор экзам поеха лифт счастлив случайн преподавател пок поднима нужн этаж выясн факт наш групп сдает втор половин дня след эт фраз дава зачетк","0"
"отдел маркетинг сработа )","0"
"недавн отдыха оаэ отвес непристойн шутк женщин - схлопота штраф доллар потрога прот е вол - раз выш процент прожива - мигрант инд проч беднющ государств котор показа живут приличн хуж наш гастер количеств убийств ниж","0"
"спат пор кун пон прочита дума ебнул что-л","1"
"говор человек наркот суд постанов ин ?","0"
"прост нос особ част друг носк режим живут горазд меньш","0"
"ограничен связа конструктив тележк ) скоростн тележк дела дпм ( пассивн ) предназначен малодеятельн участк дорог-т набереш ( состоян рельс )","0"
"назван тем - описан товар ал экспресс )","0"
"безвиз позволя жит работа ес хохл нах ник нужн виз туристическ цел","1"
"люд угадыва микроволновк телевизор","0"
"мам приезжа гост возмуща знает дом мо прав","0"
"комент тем волн тазик запуска бабушк выража наш правосуд ? ? ? дела вопиющ дел урод конечн добра больш радост","1"
"снег быва част ве год двор закрыт дорог трактор чист снег сзад огород двер манга чищ","0"
"сут услов страхован вклад тд заморочк возможн ден человек одинок хочет случа чп бега прос долг так вариант заначк выруч","0"
"страшн мужеподобн проститутк мог е изнасилова ?","1"
"указан сварщик председател горисполком ?","0"
"войн япон фильм событ халхин-гол - слуша то сторон смотрел хорош отзыв китайск фильм багрян закат ( ziri purple sunset )","0"
"город спб зашел личн кабинет фкр раздел план ремонт дом 2021-2024 запланирова замен лифт дом реальн дом ( ) лифт","0"
"тс тратьт врем флудер рис ждем !","1"
"жизн видел дне подряд солнц прост сер однотон неб статистическ архангельск ананас растут","0"
"исход пропорц потолк мм пластиков двер мм дом гуливер ?","0"
"29. сам соб дел стаж сфер конкретн мест работ так ваканс город единиц список требован колоссал зп идут десятилет ошиб сфер деятельн мест работ","0"
"ладн буд лезт дебр давн отб автор принос никак приб буд спрашива откуд так сведен скольк килограмм давн отб прост спрош как ху яндекс ( гугл эпл спотифа монопенисуальн ) должн предоставля сво облачн сервис бесплатн ?","0"
"такж будут британц говор","0"
"скольк развод ? та тонк моральн границ ?","0"
"сдела дикар ? обществен быт котор слож стран ? почему-т предпочтет дел люд правильн неправильн развива неразвит","1"
"прочита токсичн групп ...","0"
"колбасн цех профессионал левл переработк мяс 3й категор сдела буд пахнут вкусн глюкомат коров сиськ конск залуп быч ху туалетн бумаг волшебник","0"
"сволоч ещ некотор жал планет забот вон оказыва","1"
"прост изначальн пост долж рейтинг т.к прост тем обсужден . как-т исправ рейтин рейтинг неплох","0"
"пенопласт бо солнц как высок температур ? пят лет заш сара товарищ коричнев профлистом.в прошл год снима одн стен пристройки.под лист пенопласт бел вчер укладывали. заб дописа солнечн сторон","0"
"должн адекватн зарплат мог позвол кредит нескольк миллион потрат покупк квартир ? получа 90к месяц мог позвол","0"
"времен медотвод показан причин отвод уйдут индивидуальн график","0"
"весьм нишев певец песн неплох остр поднима отлич шнур дума заставля сказа антон цел достойн шнур - правильн прост жанр","0"
"альберт поеха врем альберт неплох поддержк иммигрант идт колледж уч язык получа стипенд котор хвата скромн жизн друг провинц так тех пор сожален альберт поменя так социальн программ нет","0"
"учебн тревог м.б дет попрос накинут тепл знал учител тревог соседн здан школ 100м наш идт минут ...","0"
"вент мля йбм пс2 винт пачк флоп 5,25 360кб груз .. появ тяг пк этиж 1,2 мб","0"
"цемент точн хорош !","0"
"слов понрав набок счита рома одн сам херов сво творчеств","1"
"оста дожд президент ! !","0"
"б люксембург сказа приезжа ) .. питер нижн охот чет )","1"
"например невыезд стран так професс представител котор белар ...","0"
"ет протяжен месяц дом нов мусоропровод пробл раз","0"
"исходн параметр кондер больш запас ещ надолг хват","0"
"подруг точн такж радова","0"
"все возможн наш жизн .... интересн неизведа ... скажеш точн","0"
"гусар ! ! ! ! молча ! ! !","1"
"пост удал тс забан ? ком найдут способ","1"
"ряд работ фирмен магазин одн производител постоя очеред минимум человек люб врем дня прохож мим мал объем ?","0"
"полност диалог ?","0"
"5к ? 90е знал так 5к денег так так цел имел сен дров добыва собствен труд","0"
"девушк так вопрос особ волн","0"
"ванг тво пап яв )","1"
"слышим больш прокат","0"
"144гц tn матриц умеют курс","0"
"наху налог плат пуст сам бюджет пополня","0"
"сраз поменя спорт удобн стал","0"
"понима проблем прост замен позвон час покупк увидел пробл явн обма покупател","0"
"дума раньш когда- давн люд херов жил денег впритык хозяйств занима основн женщин видн продукт подешевл взят важн муж нов ботинк куп ребенк школ одет ребенок год стар куртк поход холодильник буд коп мужик эт сам занима хотел стал всем райн нос поиск помидор подешевл поэт мужик сам удобн жен зарплат отдава б дума копейк сем цел месяц корм поч отда зна пережитк прост","0"
"все друг - врач-судмедэксперт работа бюр смэ танатологическ отдел ( прощ говор морг ) говор т.наз госзадан котор кажд год спуска сверх минздрав обознач количеств экспертиз котор контор должн выполн год говор груб упрощен задан написа скольк течен год должн вскрыт труп количеств труп меньш прошл год след.год могут уреза финансирован госзадан наход открыт доступ сайт минздрав секретн инф кол-в будущ труп берет потолк исход показател смертност прошл год покопа глубж особ шокир дан новост планирован статистик","0"
"банк кажд нескольк месяц треб смен парол вход аккаунт последн парол подход жизн парол придума нужн минимум шест","0"
"приказ обычн вмест трудов книжк дают мог представ ситуац книжк выда приказ выда","0"
"квотирован слыша позитивн дискриминац немн основн женщин возраст семейн положен оффер страховк релокац пруф спрашива прием работ ? з.ы раз алапаевск стокгольм жив последн год работа больш компан раз сталкива хот швец явн пик равноправ","0"
"деревн тайг редк встреча том далек город","0"
"цен сильн отлича ток ? переезжа туд осен навож справк","0"
"красив мужик пидр ..","0"
"весьм спорно.чайковск нич хуж","0"
"работа продовольствен магазин треб имет медицинск книжк периодическ проход медосмотр эт япон ?","0"
"перв пункт все объясня слишк времен нужн навык хот цел скор дел избирательн кот загрузк","0"
"все-так пар мужчин мог женщин хочет соглаша наоборот кажет стереотип пуст мечт образ","0"
"год красноярск провел режим черн неб трет год","0"
"маловат эт мымр гноб очередн выбор подмахнут ком","1"
"друг друг знают личн минимум одн человек ? никак заведен общепит ? звуч очен хорош супермаловероятн отмазк","0"
"нуж грил ... мяс так грил совершен понрав","0"
"дык теор прекрасн невидим рук рынк раньш вер жизн оказа несправедлив штук заградительн пошлин применя повсеместн сша европ - легк заградительн пошлин - либ де факт сувернитет например американск бренд производим предел сша - завод коротк поводк держат либ туп продукц например практическ полн цикл сборк легков машин взят европ сельск хозяйств котор дотир нескольк российск последн санкц заградительн пошлин имх постав точк свободн рынк вообщ рассужда ? ! привет пошлин стал европ сша","0"
"город относительн недавн сдела вход электрон пропуск раньш примерн пост прям ностальг","0"
"ставл ник совет допсигнализац штатн плюс охраня парковк либ каск угон","0"
"наш пункт ггс наход ям натуральн ям глубин где-т метр полтор торч штыр наш инженер езд туд зим сперв ям провал жест","0"
"компан добыва перерабатыва транспортир прода топлив юридическ фактическ дочк","0"
"одн сторон ещ инстанц изливан душ книг жалоб директор магазин обществ защ прав потребител сторон электроник ? сдела жестк ресет заводск настройк наверняк так фич нов однажд мобильн жестк диск покупа несмотр запечата упаковк нем оказа туев хуч папок лабуд какого-т студент видим кто-т продаван когда-т поюза свободн терабайт перенос сво файлопомойк одн комп полен почист соб плака рыда ? зат стопудов видн девайс рабоч стер гляд все ебен немедлен заб юза девайс сих пор полет нормальн претенз","0"
"шест утр заеб каток врод подтая все )","0"
"сам капельк придеризм прич пост перв картинк бомбардировщик b-17g ( имен эт модификац изображ картинк - характерн бород пулеметн установк нос ) никак мог нест опознавательн знак уш - боков горизонтальн полос син окантовк так оз введ июл год имен модификац b-17g запущ производств учет боев вылет ме.163 нача ма год подавн","0"
"вэлк iso - аппаратн программн - е ( модел камер сраз выясн пригод )","0"
"вообщ претенз реч идет пенопласт прекрасн вставля закладн коммуникац придира текст описан свойств пенопласт приз действ дела закладн коммуникац бетон ?","0"
"как-т друз подар кружк вид гир туд поллитр точн вход мал ча коф успева ост раньш вып половин кра загнут внутр част жидкост доход губ затека рот итог кружк пыл год шкаф","0"
"поч берет счет стоимост сам провод аренд мест оплат налог приб момент учитыва адекватн цен существован бизнес","0"
"приседа нем удобн ? цельн жестковат ?","0"
"интересн забашля кпз отда скольк сто ? сжеч жив бандарлог выкуп соплеменник","1"
"прост законодательств таков откр slp кажд собак государств особ вмешива","0"
"союз преда прода гос-в могут прода пар человек говор нем одн главн вещ нормальн систем власт сверхдержав ?","0"
"свет концерт дискотек отплясыва оказа ещ нрав заказчик тип чувствуеш музык свет дидже необходим ... плох свест трек схож бпм трудн","0"
"присобач стар электрощетк придума лейбл упаковк теб стартап )","0"
"очен злобн презлобн","1"
"потихонечк распрода коллекц cd сайт discogs нача лет 2018. отправ окол мелк пакет посылок основн границ нескольк росс ( отслеживан ) потяря пок одн","0"
"дава называ вещ явлен сво имен ... пидор прост пидор !","1"
"закупа даниловск продукт горазд магазин аб реч идет","0"
"долг истор назва чем привел эволюц подпис )","0"
"сам планир сдела номер супруг теле2 уважа сво пользовател пользу окол лет сим карт","0"
"nfsu2 крут вообщ любим част оценк все равн перебор","0"
"сам забавн дня назад коммунальн служб убра ве снег дорог дом теб снег сред зим","0"
"сам шикарн минет мо жизн снаруж выглядел очен средн внутр ! общ виде поня","0"
"втор анекдот что-т все пью пью все хуж ...","0"
"стран познавательн открытк нов год )","0"
"как образ авт снят учет задолжен штраф ?","0"
"знач вписа ? вписа ? туп раскрас стен использу определен техник","0"
"реальн дума налич сезон мам встрет где-т сезон ? кажд нов девушк та сам ?","0"
"оливк сплал большиств начина нрав гран совершеннолет лет 18-20 крайн мер )","0"
"имх никак юр сил имет ренесанс закр кред запрос справк почт поскольк распечата самостоятельн справк доверя","0"
"завис тариф нов возможн стар безлим котор закр подключен пал всем","0"
"работ дворник сложн обществен полезн ( хот завис инженер )","0"
"пакет рюкзак ? мал одн взят ещ покупок взят кого-т родн сумк клеточк ( литр )","0"
"трудн чмт аневризм отлич ?","0"
"ах выда документ назван бумаг управля !","0"
"перв класс рубл обычн 189. ессн перв прост сортир приоритет","0"
"разжига не-н ! плюсц радостн улюлюка толп","1"
"знаком бизнес рассказыва сам слов слов","0"
"ког деньг сад лодк ког возвраща обратн земл","0"
"крут раструб счита ?","0"
"вертикальн кажет сам практичн сопротивлен ветр максимальн котик кра сетк прыгнут зацеп коготк кра перелезт трос наверн буд дела страховк всяк случа","0"
